"phone.ID","rating","color","typy","purchase.date","comment"
3323457,5,"亮黑色","iPhone 7","2016/11/18 21:22","一直信赖京东、一直信赖的商品、一直信赖的快递，所以一直以来都是好评"
3323457,5,"亮黑色","iPhone 7","2016/11/11 6:07","还可以，就是从苹果2一直用到现在的苹果，对老客户要是有点优惠更好了！"
3323457,5,"亮黑色","iPhone 7","2016/11/11 0:01","还不错把目前用来，首发也抢了觉得没必要又退了，现在又想要所以又买了。第一次买128g的，终于不用担心容量了。"
3323457,5,"亮黑色","iPhone 7","2016/11/12 17:21","可以，买来给家人用，很喜欢"
3323457,5,"亮黑色","iPhone 7","2016/11/11 8:00","京东"
3323457,5,"亮黑色","iPhone 7","2016/11/11 0:10","买家印象指纹识别通话质量好金属机身"
3323457,5,"亮黑色","iPhone 7","2016/11/11 9:53","双十一还是很给力，折扣很直接"
3323457,5,"亮黑色","iPhone 7","2016/11/2 10:07","好评。好评。好评。好评。好评。好评。"
3323457,5,"亮黑色","iPhone 7","2016/11/2 3:16","蛮好的啊。蛮好的啊。蛮好的啊"
3323457,5,"亮黑色","iPhone 7","2016/11/2 0:50","亮黑确是漂亮，裸机用了不到一星期，后部下方就有细微的划痕了。摄像头电流声确实存在。5399的价格满意"
3323457,5,"亮黑色","iPhone 7","2016/11/2 2:02","东西不错反应很快摄像头也不错"
3323457,5,"亮黑色","iPhone 7","2016/11/2 20:25","就那样吧"
3323457,5,"亮黑色","iPhone 7","2016/11/10 16:45","很不错 很漂亮"
3323457,5,"亮黑色","iPhone 7","2016/11/10 20:33","这机器还用说吗？"
3323457,5,"亮黑色","iPhone 7","2016/11/16 21:23","非常好"
3323457,5,"亮黑色","iPhone 7","2016/11/18 16:06","总感觉被打开过"
3323457,5,"亮黑色","iPhone 7","2016/11/14 21:30","你一夜听"
3323457,5,"亮黑色","iPhone 7","2016/11/12 13:24","还不错"
3323457,5,"亮黑色","iPhone 7","2016/11/15 23:13","好好好，亮黑好看，运行速度完美"
3323457,5,"亮黑色","iPhone 7","2016/11/11 0:42","速度快，买正品上京东"
3323457,5,"亮黑色","iPhone 7","2016/11/18 12:51","买家印象学生机信号稳定金属机身老人机功能齐全国民手机分辨率高系统流畅软件也不错"
3323457,5,"亮黑色","iPhone 7","2016/11/11 2:04","京东快递就是快，双十一买了俩，自己跟老婆人手一个"
3323457,5,"亮黑色","iPhone 7","2016/11/11 6:52","外观完整，配送的速度极快，现在还没有用，因为ios10还没越狱，不越狱用着非常不方便 ，具体感受得等用了之后再说。"
3323457,5,"亮黑色","iPhone 7","2016/11/18 14:10","速度快，已开始使用！不多的，下次继续来"
3323457,5,"亮黑色","iPhone 7","2016/11/11 10:46","漂亮、值得"
3323457,5,"亮黑色","iPhone 7","2016/11/11 0:02","用了几天，刚觉挺好，很好很强大。"
3323457,5,"亮黑色","iPhone 7","2016/11/11 9:51","用了几天才来评价，总体感觉还可以，比5s重不少。"
3323457,5,"亮黑色","iPhone 7","2016/11/2 11:04","帮人买的用着不错挺好的。"
3323457,5,"亮黑色","iPhone 7","2016/11/11 1:32","挺好的，流畅，用着不错，需要还来！"
3323457,5,"亮黑色","iPhone 7","2016/11/18 20:32","不错的手机"
3323457,5,"亮黑色","iPhone 7","2016/11/11 10:23","双十一买的，便宜了500块"
3323457,5,"亮黑色","iPhone 7","2016/11/4 10:26","很愉快的一次购物，物有所值，谢谢老板，是正品，很好，一直支持"
3323457,5,"亮黑色","iPhone 7","2016/11/2 1:15","11月2号订的，价位少了很多，本来在官网订的，然后退了，京东发货不必说了，拿到手后用着很好，打了客服问了，手机没问题。唯一稍微缺陷就是亮黑色这个东西，确实容易脏，不过确实是最漂亮的，呵呵"
3323457,5,"亮黑色","iPhone 7","2016/11/11 8:29","双十一下单，直降五百，第一次用ios系统，流畅度很高"
3323457,5,"亮黑色","iPhone 7","2016/11/11 1:28","送快递的素质太差了"
3323457,5,"亮黑色","iPhone 7","2016/11/2 20:17","还行"
3323457,5,"亮黑色","iPhone 7","2016/11/7 14:55","5388买的，很划算"
3323457,5,"亮黑色","iPhone 7","2016/11/11 13:19","亮黑色的果然同外面那些妖艳贱货不一样……"
3323457,5,"亮黑色","iPhone 7","2016/11/13 6:16","不错"
3323457,5,"亮黑色","iPhone 7","2016/11/11 1:37","信任京东，速度超快，态度很好"
3323457,5,"亮黑色","iPhone 7","2016/11/2 10:23","东西外观系统各方面都还可以，就是耗电太快了，我把软件都关了，还是每天要冲电，如果软件不关掉可能每天要冲2次，这个待机时间的确太短了，需要改进，"
3323457,5,"亮黑色","iPhone 7","2016/11/2 10:10","一、京东购物品质值得保证。 二、京东快递速度值得称赞。 三、京东售后服务值得肯定。"
3323457,5,"亮黑色","iPhone 7","2016/11/18 13:18","，"
3323457,5,"亮黑色","iPhone 7","2016/11/9 13:37","很好"
3323457,5,"亮黑色","iPhone 7","2016/11/11 0:42","买了来。除了信号不好其他都很好"
3323457,5,"亮黑色","iPhone 7","2016/11/11 11:33","好"
3323457,5,"亮黑色","iPhone 7","2016/11/15 23:42","使用后的评价，手机太小了，第二天就降价，不过给补了差价，心里还算高兴！手机使用没得说，一如既往的快.亮黑色就是比太爱脏"
3323457,5,"亮黑色","iPhone 7","2016/11/7 22:32","和我的6比起来没什么差别，不是因为内存只有16g我就不换了，亮黑色容易刮花这是真的"
3323457,5,"亮黑色","iPhone 7","2016/11/17 22:05","好"
3323457,5,"亮黑色","iPhone 7","2016/11/9 17:12","为京东服务点赞，信守承诺，加保落实有力"
3323457,5,"亮黑色","iPhone 7","2016/11/18 19:54","可以的，亮黑色真的很帅"
3323457,5,"亮黑色","iPhone 7","2016/11/18 14:59","京东快递就是给力"
3323457,5,"亮黑色","iPhone 7","2016/11/16 1:39","很好，发货及时，快递哥服务好！"
3323457,5,"亮黑色","iPhone 7","2016/11/17 17:20","不错，"
3323457,5,"亮黑色","iPhone 7","2016/11/11 10:23","不错"
3323457,5,"亮黑色","iPhone 7","2016/11/2 1:15","1"
3323457,5,"亮黑色","iPhone 7","2016/11/11 1:26","五三八八亮黑，帅到无朋友。就算双十一，物流也是非常快。购物体验非常好，满分"
3323457,5,"亮黑色","iPhone 7","2016/11/18 0:17","赞"
3323457,5,"亮黑色","iPhone 7","2016/11/11 10:11","好"
3323457,5,"亮黑色","iPhone 7","2016/10/22 11:56","亮黑确实很漂亮 很有逼格 之前不容易抢到"
3323457,5,"亮黑色","iPhone 7","2016/11/11 11:57","挺不错的"
3323457,5,"亮黑色","iPhone 7","2016/11/12 7:06","挺好的，原来买的5s就是在京东买的，也没有网上说的包装被打开过，手机是全新的，也没有黄屏，电流声有一点点，也正常，我的5 s也有。相信京东"
3323457,5,"亮黑色","iPhone 7","2016/11/11 1:23","很好用，送货速度快，是原装新机"
3323457,5,"亮黑色","iPhone 7","2016/11/17 10:27","还可以，应该是正品，老公很喜欢"
3323457,5,"亮黑色","iPhone 7","2016/11/18 12:26","一如既往的效率和给力"
3323457,5,"亮黑色","iPhone 7","2016/11/11 0:51","很好很棒很喜欢，亮黑就是骚"
3323457,5,"亮黑色","iPhone 7","2016/11/17 20:01","快"
3323457,5,"亮黑色","iPhone 7","2016/11/18 17:47","京东还是信的过得，速度也是一级棒.用段时间再来看看吧"
3323457,5,"亮黑色","iPhone 7","2016/10/30 13:56","用着很不错，速度很快，不建议买黑色的，爱脏"
