片名,放映场数,人数,电影票房,类型,上映年份,上映月份,上映周数,宣发方,时长,是否改编,是否真人真事,是否翻拍,是否续集,导演,导演年代,第几部作品,导演得奖情况,导演是否转型,主演1,baidu index1,主演2,baidu index2
观音山,120.84,211.78,7082.56,爱情,2011,3,10,L,101,S,0,0,0,李玉,70,3,1,0,范冰冰,31530,陈柏霖,3222
巴啦啦小魔仙,93.34,170.91,5097.72,儿童,2013,1,5,C,85,S,0,0,0,李欣,60,9,0,0,王慧,371,廖景萱,814
我想和你好好的,182.2,281.28,8811.72,爱情,2013,10,41,S,101,S,0,0,0,李蔚然,70,5,0,0,冯绍峰,15972,倪妮,8356
决战刹马镇,64.61,156.23,4704.27,喜剧,2010,6,26,S,104,S,0,0,0,李蔚然,70,1,0,0,孙红雷,6392,林志玲,16505
鸿门宴传奇,182.43,467.86,15230.21,历史剧情,2011,11,49,L,135,S,1,1,0,李仁港,50,11,1,0,黎明,6245,黄秋生,2513
锦衣卫,115.13,445.19,14469.55,动作,2010,2,6,S,114,S,0,0,0,李仁港,60,9,1,0,甄子丹,9630,赵薇,21334
昆塔盒子总动员,38.53,46.01,1495.76,动画,2013,8,31,G,85,S,0,0,0,李炼,60,1,0,0,吴磊,824,狄菲菲,0
唐伯虎点秋香2之四大才子,69.75,186.77,5756.61,喜剧,2010,7,28,L,99,S,0,1,1,李力持,60,19,1,0,黄晓明,14101,张静初,3556
疯狂的蠢贼,35.01,46.89,1394.14,喜剧,2012,3,10,C,96,S,0,0,0,李凯,70,2,0,0,吴镇宇,4634,颖儿,5269
我的美女老板 ,23.18,43.65,1278.44,爱情,2010,7,31,C,104,S,0,0,0,李虹,70,3,0,0,何润东,5193,景甜,10392
搞定岳父大人,48.56,58.7,1715.55,喜剧,2012,8,32,L,91,S,0,0,0,李海蜀,70,1,0,0,徐峥,3770,许绍雄,912
80’后,25.6,50.25,1526.83,爱情,2010,6,26,G,105,S,0,0,0,李芳芳,80,1,0,1,刘冬,2161,黄明,1062
意外的恋爱时光,81.18,75.81,2379.24,爱情,2013,11,45,C,93,S,0,0,0,黎志,80,2,0,0,房祖名,2711,郭采洁,7641
情谜,51.07,69.98,2212.33,爱情,2012,3,11,S,105,S,0,0,0,黎妙雪,60,4,0,0,舒淇,10322,余文乐,3655
201314,38.24,46.35,1337.05,爱情,2013,1,1,G,92,S,0,0,0,孔令晨,70,5,0,0,郭晓然,280,金晨,1182
一夜惊喜,209.63,548.22,17157.72,喜剧,2013,8,32,L,106,S,0,0,0,金依萌,80,2,1,0,范冰冰,31508,李治廷,2496
大明猩,148.72,307.5,11307.2,儿童,2013,7,28,S,132,S,0,0,0,金容华,70,5,0,0,徐娇,4295,成东日,531
战国,126.14,228.53,7671.39,历史剧情,2011,4,16,G,126,S,1,0,0,金琛,70,15,1,0,孙红雷,6392,景甜,10397
大海啸之鲨口逃生,223.26,410.97,15771.49,灾难,2012,10,42,S,91,S,0,0,0,金波·兰道,60,2,0,0,沙维尔·塞缪尔,0,沙妮·文森,0
异度公寓,38.36,76.35,2100.78,惊悚,2010,6,23,L,93,S,0,0,0,蒋国权,60,3,1,0,萧蔷,3545,张兆辉,571
让子弹飞,378.64,1754.09,66130.69,动作,2010,12,51,G,132,N,0,0,0,姜文,60,4,1,1,姜文,3167,葛优,2547
康定情歌,21.4,37.6,1017.18,主旋律,2010,11,45,G,103,S,0,0,0,江平,60,6,1,0,苏有朋,7752,居文沛,487
喜羊羊与灰太狼之喜气羊羊过蛇年,197.59,420.06,12523.67,动画,2013,1,4,C,86,S,0,1,1,简耀宗,60,4,1,0,祖丽晴,283,梁颖,304
喜羊羊与灰太狼之开心闯龙年,198.71,562.13,16788.2,动画,2012,1,3,C,85,S,0,1,1,简耀宗,60,3,1,0,周笔畅,9499,阿牛,926
太极侠,58.21,79.43,2763.27,动作,2013,7,27,G,106,S,0,0,0,基努·里维斯,60,1,0,1,陈虎,602,基努·里维斯,557
特殊身份,283.52,493.82,15575.87,动作,2013,10,42,C,99,S,0,0,0,霍耀良?,50,30,1,0,甄子丹,9630,景甜,10392
@在一起,56.17,96.42,3308.4,爱情,2013,2,5,G,99,S,0,0,0,霍耀良,50,32,1,0,甄子丹,9630,柯震东,11375
被偷走的那五年,239.63,473.2,14913.46,爱情,2013,8,35,L,111,S,0,0,0,黄真真,70,10,0,1,白百合,5684,张孝全,1726
倾城之泪,78.72,131,4377,爱情,2011,12,52,L,108,S,0,0,0,黄真真,70,9,0,1,周冬雨,8279,李治廷,2495
完美嫁衣,34.5,61.13,1821.25,爱情,2010,10,43,L,100,S,0,0,0,黄真真,70,7,0,1,杨千嬅,2423,毛舜筠,1501
开心超人,62.6,121.51,3504.76,动画,2013,6,26,S,90,S,0,0,0,黄伟明,70,14,1,0,祖丽晴,283,高全胜,0
车在囧途,69.37,93.04,2763.01,喜剧,2012,4,14,G,90,S,0,0,0,华原,70,1,0,0,郭德纲,35135,许绍洋,1504
爱神,39.65,38.92,1204.01,爱情,2013,3,10,L,98,S,0,0,0,花明,60,1,0,0,钟汉良,22194,王子文,2933
神奇,50.17,101.08,4620.12,励志,2013,9,40,G,105,S,0,0,0,胡雪桦,60,4,1,0,黄晓明,14101,郭采洁,7641
孔子,96.34,307.95,10138.85,历史剧情,2010,1,4,G,125,S,1,0,0,胡玫,50,8,1,0,周润发,11814,陈建斌,2072
潜艇总动员3,76.02,174.7,5736.42,动画,2013,5,22,L,80,S,0,0,1,何子力,80,1,0,0,洪天海,0,,
第一次,71.1,112.86,3582.82,爱情,2012,6,24,L,106,S,0,0,0,韩延,80,5,0,0,杨颖,7602,赵又廷,8505
