"name","author","create_time","introduction","play_count","collect_count","share_count","comment_count","topics","fans","playlists","name_古风","name_BGM","name_经典","name_爵士","name_世界","name_精选","name_节奏","name_女声","name_欧美","name_粤语","name_民谣","name_东方","name_amp","name_中国","name_那些"
"发烧圣经 ◆ 爵士女伶精选集","大象与蚂蚁",1396828800,"<b>介绍：</b>令人迷醉的爵士女声天碟Ⅰ、Ⅱ、Ⅲ、Ⅳ、Ⅴ、Ⅵ、Ⅶ。—— 德国名厂牌 Premium 出品《Best Audiophile Voices》 罗致独立唱片老、中、青三代 顶尖爵士女将齐聚一堂，這裡每首歌的意境、詞意、編曲、配器、還有唱腔都很唯美，很浪漫，也很感性。<br>",78391,5050,61,15,"[""欧美"",""爵士"",""古典""]",8811,180,"否","否","否","是","否","是","否","否","否","否","否","否","否","否","否"
"法国的魅力磁性男声","小翰子",1394668800,"<b>介绍：</b>法国音乐蕴含了法国民族天生具有的浪漫情调,乐曲抒情、细腻、流畅,着重于情感的表达和音乐意境的塑造。自十九世纪开始,浪漫主义兴起于艺术领域,法国音乐就逐渐形成了丰厚的浪漫底蕴。【封面为法国名模兼歌手Baptiste Giabiconi】<br>",177982,5195,71,51,"[""小语种"",""清新"",""经典""]",57184,168,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否"
"法国香颂Je t'aime","一朵佛铃",1421452800,"<b>介绍：</b>法兰西风情，勾勒出对生活的眷恋、热爱、小资情调。浓郁的玫瑰香气，缭绕在浮生若梦般的旋律里，像一幕没有结局的爱情电影，勾起人们的无限遐想。<br>",107447,6347,76,26,"[""小语种"",""浪漫"",""下午茶""]",202,12,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否"
"反正也是睡不着","尼株水吉",1426291200,"",124279,3166,51,71,"[""治愈""]",793,14,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否"
"泛后现代系列集 Vol.Ⅵ：后黑/自赏黑 下","我的镰刀夜里闪着光",1438041600,"<b>介绍：</b>这个后现代主义系列小集子出了五期了，好像还没有出现过真正厉害的国货（狭义的后金属这一块国内确实很短板）但是在黑金/后黑领域，我们不但不缺货而且有猛货，就是这一期的重点：中国独立金属厂牌PEST Productions以及创始人邓章（大家都叫他猫总...）<br><br>在江西南昌这个文化产业并不发达的地方，却有一个亚洲第一、世界前五金属音乐独立厂牌Pest Productions，整个厂牌只有一名工作人员，他就是猫总！PEST于06年5月由猫总和朋友WU（Be Persecuted）成立，刚开始其实就是为了发表Be Persecuted的第一张作品，在Be Persecuted的Demo出版之后,WU退出了厂牌,但是猫总决定一个人把PEST进行下去，在之后的发展中猫总经历了万般艰辛，但是他坚持下来了，而且PEST逐渐壮大起来，至今与数十支海内外优秀乐队合作并已出版上百张唱片，被海外媒体评为亚洲最重要和最有影响力的黑金屬厂牌。<br><br>在这期间，猫总和朋友有一个后黑计划 Dopamine多巴胺，现已停止但是留下了一些不错的作品，并且策划了一张Post Black Metal / New wave / Shoegaze合辑《The World Comes to an End in the End of a Journey》包括分别来自美、俄、德、巴西、中国5个国家的6支新晋乐队12首作品，这6支乐队无一不受到Amesoeurs，Alcest影响，但又拥有各自的独特魅力和不一样情绪：<br><br>Leave this bleak city full of solitude<br>And start our lonely grey journey<br>Shall we see more hope in the end of the sky far away<br>离开这个到处都是寂寞的萧瑟城市<br>开始我们孤独的灰色之旅<br>能否在遥无边际的天空尽头看到些许希望<br><br>Now…<br><br>泛后现代主义系列集第六期：自赏/后黑第三弹：来自中国的后黑团多巴胺作品2首及PEST 策划的一张后黑合辑作品12首，来自美国的风格不尽相同的氛围黑／自赏黑／后黑12支乐队12首作品（美国后黑团实在多所以来个特写…），分别来自俄罗斯和乌克兰的2支PEST合作乐队4首优秀作品压轴！<br><br>来领略Post-BM隐匿在阴暗中的璀璨！<br>",70189,3147,60,143,"[""摇滚"",""金属"",""另类/独立""]",12937,138,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否"
"非洲游乐园","爵士当铺",1438041600,"<b>介绍：</b>参与这张专辑的艺人来自贝宁、衣索比亚、塞内加尔、马达加斯加等地，多数已成军达十年以上，并在国际上知名的团体，像成立於八零年代的南非团体「马哈达拉皇后合唱团」，便是三位从少女唱到成为阿婆的团体，来自乌乾达的史麦提不仅有著迷人的嗓音，更精通多样乐器，是一位全能的音乐天才。<br>",746,36,1,0,"[""运动"",""世界音乐""]",9461,83,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否"
"匪帮说唱【暴徒人生】","栓栓阿栓",1468886400,"",2350,61,1,0,"[""欧美"",""说唱""]",12,18,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否"
"芬兰金属乐：优雅与奔放并存","哈哈大炮",1460160000,"<b>介绍：</b>自上世纪八十年代后，芬兰金属乐蓬勃发展，如今世界各地都有积极踊跃的粉丝热爱着这些来自芬兰的乐队<br>",84809,2763,41,97,"[""欧美"",""金属"",""摇滚""]",969,45,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否"
"风华国乐之【二胡】","smilesky",1394236800,"",61553,2071,24,7,"[""怀旧"",""器乐"",""古典""]",4241,161,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否"
"风华燃尽―指尖砂 「司命古风」","墨_安澜",1404691200,"<b>介绍：</b>吹雪又漫过流霜，记忆寻一方土壤，琴声入松堂，剑魄里委顿的往事悲凉，犹记得黑发白裳，翻云覆雨江湖闯，夕影袖间藏，逃不开的是刀剑相向，掌线曲折刻画魔障，心若苍茫悲欢如浪，焚香在北邙，听风祝颂和梵唱。#古风歌手独立单NO.2<br>少司命<br>",68399,1954,23,38,"[""古风"",""网络歌曲"",""华语""]",37664,101,"是","否","否","否","否","否","否","否","否","否","否","否","否","否","否"
